,MI,Cyclomatic Complexity
common-io-Master,65.3112813,1.84
common-io-2.3,69.34929972,1.83
common-io-2.4,68.37315075,1.84
common-io-2.5,74.51427926,1.85
common-io-2.6,65.84537563,1.83
,,
common-codec-Master,65.42703334,1.89
common-codec-1.7,69.43601814,2.04
common-codec-1.9,68.89013312,1.99
common-codec-1.11,65.77762332,1.92
common-codec-1.12,65.62086983,1.89
